,,,,,,,y,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6236750,2280,1694915019,5,44,0,1558.17,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.000999926,-0.029997778,-0.019998519,-0.085,-0.467,9.798,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.17,125259,1,0,0,0,0,0,0,0,0,0,0
6236760,2280,1694915019,5,44,0,1558.18,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.002999778,0.058995631,0.030997704,-0.091,-0.476,9.794,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.18,125260,1,0,0,0,0,0,0,0,0,0,0
6236770,2280,1694915019,5,44,0,1558.19,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.082993853,-1E-15,0.013998963,-0.092,-0.468,9.802,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.19,125261,1,0,0,0,0,0,0,0,0,0,0
6236780,2280,1694915019,5,44,0,1558.2,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,0.001999852,0.053996001,0.007999408,-0.088,-0.471,9.798,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.2,125262,1,0,0,0,0,0,0,0,0.001,0,0.001
6236790,2280,1694915019,5,44,0,1558.21,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,0.039997038,-0.076994298,0.037997186,-0.091,-0.475,9.794,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.21,125263,1,0,0,0,0,0,0,0,0.001,0,0.001
6236800,2280,1694915019,5,44,0,1558.22,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,0.014998889,0.083993779,-0.022998297,-0.09,-0.473,9.795,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.22,125264,1,0,0,0,0,0,0,0,0.001,0,0.001
6236810,2280,1694915019,5,44,0,1558.23,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,-0.002999778,-0.124990743,0.002999778,-0.082,-0.467,9.789,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.23,125265,1,0,0,0,0,0,0,0,0.001,0,0.001
6236820,2280,1694915019,5,44,0,1558.24,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,0.047996445,-0.070994742,0.038997112,-0.083,-0.463,9.801,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.24,125266,1,0,0,0,0,0,0,0,0.001,0,0.001
6236830,2280,1694915019,5,44,0,1558.25,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,-0.03699726,0.001999852,0.006999482,-0.089,-0.475,9.804,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.25,125267,1,0,0,0,0,0,0,0,0.001,0,0.001
6236840,2280,1694915019,5,44,0,1558.26,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,-0.042996816,-0.039997038,-0.012999037,-0.081,-0.47,9.795,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.26,125268,1,0,0,0,0,0,0,0,0.001,0,0.001
6236850,2280,1694915019,5,44,0,1558.27,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,-0.060995483,0.090993261,0.06399526,-0.09,-0.479,9.788,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.27,125269,1,0,0,0,0,0,0,0,0.001,0,0.001
6236860,2280,1694915019,5,44,0,1558.28,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,-0.043996742,-0.022998297,-0.001999852,-0.094,-0.473,9.811,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.28,125270,1,0,0,0,0,0,0,0,0.001,0,0.001
6236870,2280,1694915019,5,44,0,1558.29,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0.001,-0.002,0,0,0,0.011999111,0.069994816,0.023998223,-0.089,-0.466,9.797,0,0,0,31,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.29,125271,1,0,0,0,0,0,0,0,0.001,0,0.001
6236880,2280,1694915019,5,44,0,1558.3,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,0.010999185,-0.00499963,0.014998889,-0.085,-0.463,9.782,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.3,125272,1,0,0,0,0,0,0,0,0,0,0
6236890,2280,1694915019,5,44,0,1558.31,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,0.049996297,0.015998815,0.019998519,-0.094,-0.47,9.79,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.31,125273,1,0,0,0,0,0,0,0,0,0,0
6236900,2280,1694915019,5,44,0,1558.32,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,0.002999778,0.033997482,-0.025998075,-0.09,-0.467,9.806,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.32,125274,1,0,0,0,0,0,0,0,0,0,0
6236910,2280,1694915019,5,44,0,1558.33,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,-0.021998371,0.028997852,-0.047996445,-0.085,-0.462,9.797,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.33,125275,1,0,0,0,0,0,0,0,0,0,0
6236920,2280,1694915019,5,44,0,1558.34,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,-0.010999185,0.03199763,-0.003999704,-0.085,-0.469,9.782,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.34,125276,1,0,0,0,0,0,0,0,0,0,0
6236930,2280,1694915019,5,44,0,1558.35,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,-0.037997186,0.087993483,-0.029997778,-0.092,-0.474,9.8,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.35,125277,1,0,0,0,0,0,0,0,0,0,0
6236940,2280,1694915019,5,44,0,1558.36,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,0.010999185,-0.008999333,0.054995927,-0.081,-0.463,9.807,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.36,125278,1,0,0,0,0,0,0,0,0,0,0
6236950,2280,1694915019,5,44,0,1558.37,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,-0.034997408,-0.122990891,0.00499963,-0.087,-0.467,9.786,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.37,125279,1,0,0,0,0,0,0,0,0,0,0
6236960,2280,1694915019,5,44,0,1558.38,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,0.008999333,0.013998963,0.003999704,-0.095,-0.469,9.79,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.38,125280,1,0,0,0,0,0,0,0,0,0,0
6236970,2280,1694915019,5,44,0,1558.39,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.001,0,0,0,-0.03699726,-0.016998741,-0.027997926,-0.089,-0.471,9.809,0,0,0,32,52,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.39,125281,1,0,0,0,0,0,0,0,0,0,0
6236980,2280,1694915019,5,44,0,1558.4,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.000999926,-0.018998593,-0.090993261,-0.083,-0.465,9.783,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.4,125282,1,0,0,0,0,0,0,0,0.001,0,0.001
6236990,2280,1694915019,5,44,0,1558.41,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.024998149,-0.07899415,-0.017998667,-0.094,-0.48,9.8,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.41,125283,1,0,0,0,0,0,0,0,0.001,0,0.001
6237000,2280,1694915019,5,44,0,1558.43,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.035997334,-0.053996001,0.003999704,-0.094,-0.476,9.795,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.42,125284,1,0,0,0,0,0,0,0,0.001,0,0.001
6237010,2280,1694915019,5,44,0,1558.43,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.007999408,-0.029997778,-0.014998889,-0.086,-0.474,9.79,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.43,125285,1,0,0,0,0,0,0,0,0.001,0,0.001
6237020,2280,1694915019,5,44,0,1558.44,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.012999037,-0.024998149,0.009999259,-0.079,-0.469,9.782,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.44,125286,1,0,0,0,0,0,0,0,0.001,0,0.001
6237030,2280,1694915019,5,44,0,1558.45,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.021998371,-0.074994446,-0.112991632,-0.093,-0.473,9.793,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.45,125287,1,0,0,0,0,0,0,0,0.001,0,0.001
6237040,2280,1694915019,5,44,0,1558.46,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.008999333,0.013998963,0.020998445,-0.094,-0.472,9.803,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.46,125288,1,0,0,0,0,0,0,0,0.001,0,0.001
6237050,2280,1694915019,5,44,0,1558.47,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.054995927,0.026998,0.071994668,-0.087,-0.465,9.788,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.47,125289,1,0,0,0,0,0,0,0,0.001,0,0.001
6237060,2280,1694915019,5,44,0,1558.48,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.032997556,-0.032997556,-0.00499963,-0.087,-0.468,9.802,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.48,125290,1,0,0,0,0,0,0,0,0.001,0,0.001
6237070,2280,1694915019,5,44,0,1558.49,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.055995853,-0.057995705,0.010999185,-0.089,-0.48,9.792,0,0,0,32,55,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.49,125291,1,0,0,0,0,0,0,0,0.001,0,0.001
6237080,2280,1694915019,5,43,0,1558.5,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,0.012999037,-0.024998149,0.018998593,-0.086,-0.467,9.779,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.5,125292,1,0,0,0,0,0,0,0,0.001,0,0.001
6237090,2280,1694915019,5,43,0,1558.51,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,-0.025998075,0.002999778,0.04199689,-0.089,-0.471,9.799,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.51,125293,1,0,0,0,0,0,0,0,0.001,0,0.001
6237100,2280,1694915019,5,43,0,1558.52,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,0.03199763,-0.016998741,-0.060995483,-0.085,-0.482,9.799,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.52,125294,1,0,0,0,0,0,0,0,0.001,0,0.001
6237110,2280,1694915019,5,43,0,1558.53,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,0.034997408,-0.053996001,0.016998741,-0.087,-0.47,9.792,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.53,125295,1,0,0,0,0,0,0,0,0.001,0,0.001
6237120,2280,1694915019,5,43,0,1558.54,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,-0.03199763,0.019998519,0.039997038,-0.089,-0.468,9.784,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.54,125296,1,0,0,0,0,0,0,0,0.001,0,0.001
6237130,2280,1694915019,5,43,0,1558.55,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,-0.013998963,-0.107992002,0.081993927,-0.093,-0.478,9.8,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.55,125297,1,0,0,0,0,0,0,0,0.001,0,0.001
6237140,2280,1694915019,5,43,0,1558.56,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,-0.04199689,-0.002999778,0.055995853,-0.084,-0.465,9.806,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.56,125298,1,0,0,0,0,0,0,0,0.001,0,0.001
6237150,2280,1694915019,5,43,0,1558.57,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,-0.070994742,-0.006999482,0.03699726,-0.086,-0.459,9.783,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.57,125299,1,0,0,0,0,0,0,0,0.001,0,0.001
6237160,2280,1694915019,5,43,0,1558.58,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.005,0,0,0,0.012999037,0.005999556,0.087993483,-0.093,-0.469,9.795,0,0,0,36,68,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.58,125300,1,0,0,0,0,0,0,0,0.001,0,0.001
