,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,new_longitude,new_latitude
2899,283734500,2272,1690354116.5,4,27,0,0.0,29.58007785373264,106.46741861979169,232.821,-12.492,-13.96,-0.074,2.63,0.038,222.011,0.924931498257638,2.234834484979268,-0.277979412449324,-0.241,0.404,9.391,50,50,80,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009029,0.021103,0.913342,-0.406545,18.5625,18.59375,18.5625,18.578125,1.0068,1.0068,3222.5,298268,1,0,0,0,0,0,0,0,18.73317,18.574219,0.158951,106.46347563423629,29.582690444397628
2900,283734510,2272,1690354116.51,4,27,0,0.0,29.58007785373264,106.46741889105903,232.822,-12.492,-13.96,-0.074,2.635,0.045,222.01,0.598955640493324,0.759943717487356,-0.118991187343417,-0.076,0.236,8.901,50,50,80,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.008989,0.021176,0.913337,-0.406553,18.59375,18.5625,18.59375,18.640625,1.0068,1.0068,3222.51,298269,1,0,0,0,0,0,0,0,18.73317,18.597656,0.135514,106.46347590618954,29.582690445097256
2901,283734520,2272,1690354116.52,4,27,0,0.0,29.58007758246528,106.46741861979169,232.822,-12.492,-13.96,-0.074,2.639,0.039,222.011,0.388971192240238,-0.718946753780804,0.094992964685918,-0.184,0.509,8.83,50,50,81,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009056,0.021182,0.913339,-0.406547,18.59375,18.5625,18.59375,18.640625,1.0068,1.0068,3222.52,298270,1,0,0,0,0,0,0,0,18.73317,18.597656,0.135514,106.46347563425284,29.582690173219802
2902,283734530,2272,1690354116.53,4,27,0,0.0,29.58007758246528,106.46741319444445,232.822,-12.492,-13.96,-0.074,2.637,0.027,222.01,-0.265980301120577,-1.161913947000409,-0.008999333496562,-0.201,0.393,8.601,50,50,81,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009139,0.02112,0.913338,-0.40655,18.578125,18.546875,18.578125,18.65625,1.0067,1.0067,3222.53,298271,1,0,0,0,0,0,0,0,18.73317,18.589844,0.143326,106.46347019518782,29.582690159227614
2903,283734540,2272,1690354116.54,4,27,0,0.0,29.580072428385417,106.46741400824652,232.822,-12.492,-13.96,-0.074,2.645,0.008,222.011,0.789941495809226,-1.9448559612012,0.13898970622466,-0.328,-0.039,9.003,50,50,81,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009318,0.021116,0.91334,-0.406543,18.578125,18.546875,18.578125,18.65625,1.0067,1.0067,3222.54,298272,1,0,0,0,0,0,0,0,18.73317,18.589844,0.143326,106.46347101136202,29.582685008947735
2904,283734550,2272,1690354116.55,5,27,1,0.0,29.580073242187495,106.46741319444445,232.821,-12.492,-13.96,-0.074,2.659,-0.016,222.01,1.4618917302191,-2.364824857707371,0.091993186853731,-0.162,0.306,9.721,50,50,81,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009558,0.021149,0.913339,-0.406538,18.578125,18.546875,18.578125,18.65625,1.0067,1.0067,3222.55,298273,1,0,0,0,0,0,0,0,18.73317,18.589844,0.143326,106.46347019545267,29.58268582038242
2905,283734560,2272,1690354116.56,5,27,1,0.0,29.580073242187495,106.46740858289932,232.821,-12.492,-13.96,-0.074,2.678,-0.019,222.009,2.051848037215865,-0.546959491402086,-0.083993779301236,-0.21,0.737,9.992,50,50,80,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.00965,0.02129,0.913331,-0.406546,18.59375,18.578125,18.59375,18.59375,1.0067,1.0067,3222.56,298274,1,0,0,0,0,0,0,0,18.73317,18.589844,0.143326,106.4634655722481,29.582685808489654
2906,283734570,2272,1690354116.57,5,27,1,0.0,29.580072970920135,106.46740831163194,232.821,-12.495,-13.961,0.015,2.683,-0.015,222.008,0.512962009303965,0.318976376155876,-0.10299237223842,0.003,0.732,9.504,50,50,80,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009641,0.021343,0.913327,-0.406553,18.59375,18.578125,18.59375,18.59375,1.0067,1.0067,3222.57,298275,1,0,0,0,0,0,0,0,18.735916,18.589844,0.146072,106.46346530031144,29.58268553661227
2907,283734580,2272,1690354116.58,5,27,1,0.0,29.58006781684028,106.46740912543405,232.821,-12.495,-13.961,0.015,2.683,-0.02,222.007,-0.064995186364052,-0.508962305527719,-0.05999555664374,-0.186,0.376,8.829,50,50,80,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009679,0.02132,0.913324,-0.406559,18.59375,18.59375,18.59375,18.578125,1.0067,1.0067,3222.58,298276,1,0,0,0,0,0,0,0,18.735916,18.589844,0.146072,106.46346611648555,29.582680386332328
2908,283734590,2272,1690354116.59,5,27,1,0.0,29.58006781684028,106.46740858289932,232.821,-12.495,-13.961,0.015,2.685,-0.049,222.007,0.196985410980274,-2.867787607570714,0.102992372238417,-0.16,0.45,9.094,50,50,80,131,273,170,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009913,0.021235,0.913325,-0.406556,18.59375,18.59375,18.59375,18.578125,1.0067,1.0067,3222.59,298277,1,0,0,0,0,0,0,0,18.735916,18.589844,0.146072,106.46346557257915,29.58268038493321
