,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,sec_of_week_last_three,new_longitude,new_latitude
1588,284392770,2272,1690354775.54,1,7,0,0.0,29.496820203993057,106.4457351345486,317.24,0.0,0.0,0.0,-0.091,-0.981,357.597,0.742944976438297,0.585956603220514,7.841419253336655,0.443,1.452,9.609,55,111,78,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006719,0.005351,0.721752,0.692098,10.5625,10.78125,10.5625,10.84375,1.0052,1.0052,3880.77,364095,1,0,0,0,0,0,0,0,0.0,10.6875,10.6875,0.77,106.44175030805675,29.499415717469283
1589,284392780,2272,1690354775.56,1,7,0,0.0,29.496820203993057,106.44574028862849,317.242,0.0,0.0,0.0,-0.088,-0.969,357.676,0.401970229513048,1.122916835181976,7.915413773197266,0.418,1.569,9.166,55,112,79,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006628,0.005305,0.721274,0.692597,10.5625,10.78125,10.5625,10.84375,1.0052,1.0052,3880.78,364096,1,0,0,0,0,0,0,0,0.0,10.6875,10.6875,0.78,106.44175547115067,29.499415727157196
1590,284392790,2272,1690354775.58,1,7,0,0.0,29.496820203993057,106.44573947482638,317.244,0.0,0.0,0.0,-0.096,-0.957,357.756,-0.705947716507994,1.224909281476332,7.940411921798824,0.603,1.513,8.984,56,112,79,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006598,0.005182,0.720795,0.693096,10.5625,10.765625,10.5625,10.875,1.0052,1.0052,3880.79,364097,1,0,0,0,0,0,0,0,0.0,10.691406,10.691406,0.79,106.44175465592522,29.499415725627458
1591,284392800,2272,1690354775.6,1,7,0,0.0,29.496820203993057,106.44573947482638,317.247,0.0,0.0,0.0,-0.103,-0.947,357.835,-0.56595808433927,0.991926536509813,7.934412366134452,0.396,1.28,9.129,56,112,79,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006573,0.005082,0.720316,0.693595,10.5625,10.765625,10.5625,10.875,1.0052,1.0052,3880.8,364098,1,0,0,0,0,0,0,0,0.0,10.691406,10.691406,0.8,106.44175465592522,29.499415725627458
1592,284392810,2272,1690354775.62,1,7,0,0.0,29.496819932725696,106.44573974609376,317.249,0.0,0.0,0.0,-0.102,-0.937,357.914,0.252981263847764,0.992926462453875,7.920413402917578,0.415,1.168,9.096,55,113,79,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.0065,0.005033,0.719837,0.694094,10.5625,10.796875,10.5625,10.859375,1.0052,1.0052,3880.81,364099,1,0,0,0,0,0,0,0,0.0,10.695312,10.695312,0.81,106.44175492768368,29.49941545498745
1593,284392820,2272,1690354775.6399999,1,7,0,0.0,29.496819932725696,106.44574462890624,317.251,0.0,0.0,0.0,-0.094,-0.932,357.994,0.904932979376392,0.461965786156787,7.957410662847884,0.389,1.535,9.536,56,113,79,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.00642,0.005058,0.719355,0.694594,10.5625,10.796875,10.5625,10.859375,1.0052,1.0052,3880.82,364100,1,0,0,0,0,0,0,0,0.0,10.695312,10.695312,0.82,106.4417598190367,29.499415464166304
1594,284392830,2272,1690354775.6599998,1,7,0,0.0,29.496819932725696,106.4457449001736,317.253,0.0,0.0,0.0,-0.092,-0.921,358.073,0.420968822450232,1.153914539447908,7.904414587812582,0.531,1.484,8.892,56,114,79,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006325,0.00501,0.718876,0.695091,10.578125,10.78125,10.578125,10.875,1.0052,1.0052,3880.83,364101,1,0,0,0,0,0,0,0,0.0,10.703125,10.703125,0.83,106.44176009077856,29.499415464676268
1595,284392840,2272,1690354775.6799998,1,7,0,0.0,29.496819932725696,106.4457449001736,317.255,0.0,0.0,0.0,-0.086,-0.914,358.152,0.723946383501113,0.611954677766134,7.923413180749765,0.401,1.465,8.911,56,114,80,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006246,0.005014,0.718395,0.695588,10.578125,10.78125,10.578125,10.875,1.0052,1.0052,3880.84,364102,1,0,0,0,0,0,0,0,0.0,10.703125,10.703125,0.84,106.44176009077856,29.499415464676268
1596,284392850,2272,1690354775.6999998,1,7,0,0.0,29.496819932725696,106.4457449001736,317.257,0.0,0.0,0.0,-0.084,-0.918,358.231,0.234982596854642,-0.350974006365873,7.866417401938213,0.352,1.523,9.137,56,115,80,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006258,0.005046,0.717917,0.696081,10.578125,10.78125,10.578125,10.875,1.0052,1.0052,3880.85,364103,1,0,0,0,0,0,0,0,0.0,10.703125,10.703125,0.85,106.44176009077856,29.499415464676268
1597,284392860,2272,1690354775.7199998,1,7,0,0.0,29.496819932725696,106.44574517144096,317.259,0.0,0.0,0.0,-0.082,-0.922,358.31,0.376972080911491,-0.433967859723045,7.927412884526015,0.398,1.3,9.6,56,115,80,903,986,1144,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006266,0.005092,0.717436,0.696577,10.59375,10.828125,10.59375,10.859375,1.0052,1.0052,3880.86,364104,1,0,0,0,0,0,0,0,0.0,10.71875,10.71875,0.86,106.44176036252043,29.499415465186235
